Date,stock1,stock2,spread,zscore,position,pnl
2002-01-29,72.756248,36.233002,-3.6463823715337753,-0.24182205350802913,0.0,-0.0
2002-01-30,73.630371,36.686821,-3.72920368745271,-0.260234083064085,0.0,0.0
2002-01-31,73.709908,36.998352000000004,-4.306575762838577,-0.3885898281871296,0.0,0.0
2002-02-01,73.352264,36.786819,-4.2181712237089215,-0.3689365907411331,0.0,-0.0
2002-02-04,71.953537,35.921482,-3.7922074912708013,-0.2742404760460328,0.0,-0.0
2002-02-05,71.770767,35.783012,-3.6829930670283204,-0.2499609873082734,0.0,-0.0
2002-02-06,71.325745,35.383045,-3.284625638191855,-0.16139981446858742,0.0,-0.0
2002-02-07,70.53897099999999,34.921532,-3.0982313881346926,-0.11996245739386419,0.0,-0.0
2002-02-08,72.62906600000001,35.844566,-2.954489757429286,-0.08800721587640167,0.0,-0.0
2002-02-11,73.352264,36.002243,-2.563776974886352,-0.0011477495627940705,0.0,-0.0
2002-02-12,72.883362,36.079155,-3.1948592741377126,-0.14144382934849728,0.0,0.0
2002-02-13,73.82114399999999,36.421440000000004,-2.9788356958307673,-0.09341956814881357,0.0,-0.0
2002-02-14,73.55096400000001,35.95993,-2.2758537717161857,0.06286053704583999,0.0,-0.0
2002-02-15,72.946945,35.906082,-2.766326319223893,-0.04617655009710133,0.0,0.0
2002-02-19,71.611855,35.209965000000004,-2.633550922745272,-0.01665921513137524,0.0,-0.0
2002-02-20,72.875435,35.806090999999995,-2.626990543500426,-0.015200775414319028,0.0,-0.0
2002-02-21,71.532379,35.040749,-2.356210021375915,0.04499651704889983,0.0,-0.0
2002-02-22,72.39862099999999,35.671496999999995,-2.8199932371056065,-0.05810725739457657,0.0,0.0
2002-02-25,73.423775,35.89455,-2.2651793958443562,0.06523356048629034,0.0,-0.0
2002-02-26,73.709908,36.063782,-2.335897035574291,0.049512302517912644,0.0,0.0
2002-02-27,74.385384,36.229153000000004,-2.009130187169589,0.12215593059858097,0.0,-0.0
2002-02-28,73.55096400000001,35.844566,-2.0325917574292873,0.11694018245137856,0.0,0.0
2002-03-01,75.434433,36.729126,-2.014348021442572,0.1209959524240395,0.0,-0.0
2002-03-04,77.127167,37.306042,-1.5381265230405319,0.22686488491467888,0.0,-0.0
2002-03-05,77.00795699999999,37.390644,-1.8357323218400126,0.16070405780450564,0.0,0.0
2002-03-06,78.14439399999999,37.844456,-1.6562248772261796,0.20061040726406973,0.0,-0.0
2002-03-07,77.8424,37.882919,-2.0393237873846033,0.11544358301759447,0.0,0.0
2002-03-08,78.430489,38.266040999999994,-2.2591040484853693,0.0665841726311935,0.0,0.0
2002-03-11,78.279495,38.273773,-2.4264021112299616,0.02939209421819988,0.0,0.0
2002-03-12,78.080788,38.212162,-2.495193227919472,0.014099122117622648,0.0,0.0
2002-03-13,77.61193100000001,37.888699,-2.281980770139853,0.06149844233851983,0.0,-0.0
2002-03-14,77.76293199999999,38.061974,-2.4963556718558664,0.01384069888591383,0.0,0.0
2002-03-15,78.513695,38.215996000000004,-2.0703707825706346,0.10854151696552337,0.0,-0.0
2002-03-18,79.166481,38.431618,-1.8722555814729844,0.15258456189473293,0.0,-0.0
2002-03-19,79.166481,38.678065999999994,-2.391927549305052,0.03705614357615508,0.0,0.0
