Date,Open,High,Low,Close,Adj Close,Volume
2013-04-05,201.910004,204.669998,201.429993,204.550003,184.382492,2076800
2013-04-08,204.970001,206.240005,203.759995,206.110001,185.788696,2303800
2013-04-09,206.479996,207.020004,205.289993,206.169998,185.842819,1502600
2013-04-10,206.690002,209.190002,206.669998,209.020004,188.411835,4030600
2013-04-11,208.929993,210.580002,208.809998,209.820007,189.132935,1804900
2013-04-12,209.240005,209.619995,207.869995,208.949997,188.348694,1108500
2013-04-15,207.919998,208.130005,201.910004,202.399994,182.444489,7409400
2013-04-16,203.940002,205.759995,203.279999,205.500000,185.238815,3449100
2013-04-17,203.990005,204.070007,200.869995,202.350006,182.399429,4523000
2013-04-18,202.750000,202.990005,200.289993,201.000000,181.182541,1958300
2013-04-19,202.470001,204.309998,201.380005,204.309998,184.166199,2059800
2013-04-22,204.199997,205.169998,201.809998,204.759995,184.571808,1173000
2013-04-23,205.779999,207.070007,204.860001,206.830002,186.437698,1479900
2013-04-24,206.869995,207.789993,206.460007,207.690002,187.212906,1801200
2013-04-25,208.199997,209.610001,207.830002,208.529999,187.970123,1265900
2013-04-26,208.229996,208.720001,206.919998,207.679993,187.203903,862600
2013-04-29,208.380005,209.639999,208.050003,209.190002,188.565018,1298200
2013-04-30,209.300003,211.110001,208.610001,210.970001,190.169540,1768700
2013-05-01,210.350006,210.490005,207.160004,207.240005,186.807297,2448800
2013-05-02,208.139999,209.570007,207.710007,209.440002,188.790390,1388900
2013-05-03,211.490005,213.070007,210.740005,211.940002,191.043915,1997200
2013-05-06,212.080002,213.339996,211.820007,213.179993,192.161652,723800
2013-05-07,213.559998,215.000000,213.169998,214.860001,193.675995,1794500
2013-05-08,214.410004,216.270004,214.399994,216.270004,194.947021,1675800
2013-05-09,215.960007,216.210007,214.889999,215.220001,194.000519,1743500
2013-05-10,215.660004,216.690002,215.210007,216.690002,195.325562,1469600
2013-05-13,216.190002,216.779999,215.470001,216.179993,194.865860,954000
2013-05-14,216.360001,218.789993,216.360001,218.710007,197.146454,1307100
2013-05-15,218.059998,219.929993,218.029999,219.539993,197.894592,1958800
2013-05-16,219.169998,220.179993,218.130005,218.369995,196.839966,2577200
2013-05-17,219.309998,220.759995,219.169998,220.720001,198.958313,2052900
2013-05-20,220.240005,221.570007,220.240005,220.919998,199.138565,2583100
2013-05-21,220.899994,221.800003,220.389999,221.149994,199.345825,1913700
2013-05-22,221.350006,222.970001,216.460007,217.399994,195.965591,3145300
2013-05-23,214.990005,217.380005,214.490005,217.160004,195.749268,1962500
2013-05-24,216.059998,216.520004,214.479996,216.520004,195.172333,2118600
2013-05-28,219.160004,220.059998,216.889999,217.889999,196.407288,2596100
2013-05-29,216.619995,217.070007,214.429993,216.029999,194.730652,2535900
2013-05-30,216.710007,218.320007,216.479996,217.949997,196.461349,2141700
2013-05-31,216.779999,218.850006,215.610001,215.800003,194.523346,3800100
2013-06-03,215.850006,216.229996,213.100006,215.070007,193.865295,3404900
2013-06-04,215.220001,216.440002,212.500000,213.669998,192.603317,2944500
2013-06-05,213.029999,213.490005,210.550003,210.580002,189.817978,3626800
2013-06-06,210.710007,213.330002,210.270004,213.330002,192.296844,2548300
2013-06-07,214.479996,215.550003,212.740005,215.279999,194.054642,1818100
2013-06-10,216.119995,216.149994,214.089996,215.449997,194.207840,1557300
2013-06-11,213.139999,214.820007,211.679993,212.639999,191.674866,1460600
2013-06-12,214.160004,214.449997,210.369995,210.830002,190.043350,1496100
2013-06-13,210.479996,214.990005,210.220001,214.690002,193.522781,2204400
2013-06-14,214.559998,215.410004,213.240005,213.820007,192.738571,725300
2013-06-17,215.440002,215.779999,214.009995,215.130005,193.919373,1258500
2013-06-18,215.119995,217.190002,215.119995,217.039993,195.641068,1786000
2013-06-19,216.350006,216.979996,213.429993,213.429993,192.387009,1598700
2013-06-20,211.020004,211.380005,207.410004,207.710007,187.230942,5070500
2013-06-21,207.270004,208.160004,204.770004,206.850006,187.118805,2406500
2013-06-24,204.270004,206.229996,202.449997,204.520004,185.011078,2523500
2013-06-25,206.559998,207.479996,204.699997,207.089996,187.335876,1291900
2013-06-26,208.850006,209.320007,207.419998,208.380005,188.502808,1770900
2013-06-27,209.820007,212.009995,209.800003,211.380005,191.216736,1522900
2013-06-28,210.899994,212.229996,210.080002,210.100006,190.058792,1862300
2013-07-01,211.770004,214.770004,211.589996,213.179993,192.844955,2189700
2013-07-02,213.300003,214.860001,211.880005,212.910004,192.600739,1654500
2013-07-03,212.220001,213.589996,211.800003,212.979996,192.664078,1530500
2013-07-05,215.029999,215.820007,212.679993,215.820007,195.233185,2755300
2013-07-08,216.699997,217.240005,215.929993,216.169998,195.549683,1385900
2013-07-09,217.279999,218.910004,216.580002,218.479996,197.639435,4124900
2013-07-10,218.580002,218.919998,217.460007,218.589996,197.738892,2117400
2013-07-11,221.000000,221.539993,220.190002,221.410004,200.289963,2116600
2013-07-12,221.460007,222.320007,221.250000,221.779999,200.624664,2466600
2013-07-15,222.449997,223.190002,221.789993,223.000000,201.728256,1120200
2013-07-16,223.100006,223.550003,220.990005,221.229996,200.127121,2304500
2013-07-17,222.539993,222.929993,221.520004,222.259995,201.058853,1828700
2013-07-18,223.020004,224.520004,222.580002,224.250000,202.859039,2157200
2013-07-19,223.710007,224.710007,223.500000,224.559998,203.139465,1929800
2013-07-22,224.960007,225.649994,224.330002,225.320007,203.826950,1541200
2013-07-23,226.119995,226.139999,224.869995,225.339996,203.845047,1633300
2013-07-24,226.270004,226.589996,223.279999,223.630005,202.298172,1823200
2013-07-25,223.229996,224.750000,222.910004,224.509995,203.094193,1751000
2013-07-26,223.080002,223.740005,222.220001,223.289993,201.990585,1310900
2013-07-29,222.759995,224.009995,221.830002,222.669998,201.429703,1198000
2013-07-30,223.300003,223.839996,222.580002,223.130005,201.845856,1531800
2013-07-31,224.059998,225.759995,223.559998,224.110001,202.732407,2858300
2013-08-01,226.210007,229.559998,225.910004,228.800003,206.975037,8423500
2013-08-02,227.860001,228.320007,227.250000,227.970001,206.224182,4591300
2013-08-05,227.669998,228.330002,227.250000,228.020004,206.269424,1362300
2013-08-06,227.210007,227.589996,225.139999,225.580002,204.062164,1561700
2013-08-07,225.009995,225.289993,223.460007,223.940002,202.578613,1611900
2013-08-08,224.880005,225.570007,223.949997,224.860001,203.410828,1335900
2013-08-09,224.589996,225.919998,224.259995,225.130005,203.655136,1407200
2013-08-12,223.830002,226.130005,223.789993,225.889999,204.342621,1559800
2013-08-13,226.089996,226.089996,223.990005,225.639999,204.116440,1079500
2013-08-14,225.309998,225.539993,224.000000,224.000000,202.632858,2324200
2013-08-15,221.779999,222.020004,219.710007,219.940002,198.960190,4802700
2013-08-16,219.630005,220.929993,219.259995,219.509995,198.571182,1731800
2013-08-19,219.210007,219.979996,217.869995,217.869995,197.087555,1420500
2013-08-20,218.059998,221.190002,217.940002,220.919998,199.846695,1130100
2013-08-21,219.589996,221.149994,218.449997,218.990005,198.100754,2005900
2013-08-22,219.339996,222.089996,219.330002,221.419998,200.298996,898600
2013-08-23,222.089996,222.089996,220.080002,221.779999,200.624664,2003000
2013-08-26,221.929993,223.000000,221.160004,221.990005,200.814606,2440500
2013-08-27,219.570007,220.020004,217.119995,217.289993,196.562927,2387000
2013-08-28,217.190002,218.750000,216.880005,217.899994,197.114746,1909500
2013-08-29,217.320007,219.839996,217.320007,218.919998,198.037445,969400
2013-08-30,219.050003,219.050003,215.270004,215.449997,194.898468,2408800
2013-09-03,218.529999,218.949997,213.210007,215.100006,194.581848,18087100
2013-09-04,215.539993,217.910004,214.639999,217.610001,196.852371,2711200
2013-09-05,217.710007,218.889999,217.559998,217.949997,197.159973,2151100
2013-09-06,219.059998,219.820007,216.009995,218.559998,197.711792,2268800
2013-09-09,219.139999,221.889999,218.979996,221.759995,200.606567,1963100
2013-09-10,223.169998,224.100006,222.479996,224.100006,202.723312,1504000
2013-09-11,223.850006,224.389999,222.910004,224.320007,202.922333,1652200
2013-09-12,224.419998,224.800003,223.240005,223.660004,202.325317,2500300
2013-09-13,224.169998,224.309998,222.990005,224.070007,202.696228,1107900
2013-09-16,226.949997,227.089996,224.919998,225.330002,203.836029,1179600
2013-09-17,225.369995,227.110001,225.229996,227.110001,205.446228,2109300
2013-09-18,226.820007,229.619995,225.449997,229.179993,207.318756,4632800
2013-09-19,229.809998,229.889999,228.460007,228.639999,206.830292,1617200
2013-09-20,228.839996,228.839996,226.250000,226.279999,205.289795,2880300
2013-09-23,226.300003,226.309998,224.259995,225.320007,204.418823,1654400
2013-09-24,225.779999,227.029999,224.479996,225.639999,204.709152,1437800
2013-09-25,225.820007,227.050003,224.889999,225.770004,204.827118,1651900
2013-09-26,226.050003,227.669998,225.880005,227.100006,206.033752,1235500
2013-09-27,225.690002,226.830002,225.449997,226.199997,205.217194,1585900
2013-09-30,224.020004,226.880005,223.740005,226.330002,205.335144,3820700
2013-10-01,225.990005,230.259995,225.820007,229.429993,208.147537,24684700
2013-10-02,228.119995,229.250000,227.059998,228.970001,207.730240,3177500
2013-10-03,228.460007,228.610001,225.339996,227.139999,206.070038,3718300
2013-10-04,227.190002,228.830002,226.839996,228.460007,207.267548,3202700
2013-10-07,226.250000,227.559998,225.720001,225.830002,204.881561,2145400
2013-10-08,225.740005,226.479996,222.940002,223.179993,202.477310,4887900
2013-10-09,223.419998,223.580002,221.279999,222.399994,201.769684,3662000
2013-10-10,225.130005,227.440002,224.570007,227.350006,206.260529,2558700
2013-10-11,226.800003,229.539993,226.600006,229.539993,208.247360,2903200
2013-10-14,228.080002,230.410004,227.830002,230.410004,209.036652,1509900
2013-10-15,229.619995,230.160004,227.419998,227.979996,206.832047,2686500
2013-10-16,229.509995,230.960007,228.929993,230.960007,209.535675,2216200
2013-10-17,229.710007,232.910004,229.679993,232.639999,211.059845,3542900
2013-10-18,233.789993,234.820007,232.869995,234.600006,212.837982,3097400
2013-10-21,235.029999,235.309998,234.119995,234.820007,213.037598,3910500
2013-10-22,235.630005,236.949997,234.830002,235.990005,214.099091,2704300
2013-10-23,234.910004,235.110001,233.259995,234.440002,212.692825,1490000
2013-10-24,234.839996,235.210007,234.029999,234.869995,213.082916,1314900
2013-10-25,235.139999,235.619995,234.220001,235.619995,213.763412,1084400
2013-10-28,235.619995,235.850006,234.460007,235.320007,213.491211,1149400
2013-10-29,235.619995,236.580002,234.899994,236.490005,214.552719,2173100
2013-10-30,236.740005,236.960007,234.080002,234.729996,212.955887,1500900
2013-10-31,234.809998,236.300003,233.770004,234.520004,212.765411,2926700
2013-11-01,234.919998,235.690002,232.979996,234.729996,212.955887,2770200
2013-11-04,235.529999,236.669998,234.869995,236.479996,214.543594,1273400
2013-11-05,235.490005,236.039993,234.169998,234.979996,213.182739,1280200
2013-11-06,236.240005,236.509995,234.320007,234.750000,212.974106,1265300
2013-11-07,235.580002,235.809998,230.580002,230.600006,209.209061,1769800
2013-11-08,230.649994,234.169998,230.649994,234.169998,212.447845,2358100
