Date,sp1,nav
2002-09-27,1.1544744612895954,1.1544744612895954
2002-09-30,0.9232609456807666,0.9232609456807666
2002-10-01,1.003474031456399,1.003474031456399
2002-10-02,0.7547064612895937,0.7547064612895937
2002-10-03,0.28848840062017445,0.28848840062017445
2002-10-04,0.4984191176749917,0.4984191176749917
2002-10-07,0.4825226470532087,0.4825226470532087
2002-10-08,1.0254122598961075,1.0254122598961075
2002-10-09,1.4743753586107715,1.4743753586107715
2002-10-10,2.121169184891251,2.121169184891251
2002-10-11,2.8114118914035373,2.8114118914035373
2002-10-14,3.2032274216406336,3.2032274216406336
2002-10-15,3.0111591187005757,3.0111591187005757
2002-10-16,2.9862803955418755,2.9862803955418755
2002-10-17,2.8700106453609493,2.8700106453609493
2002-10-18,2.835498527318073,2.835498527318073
2002-10-21,3.1069190812574305,3.1069190812574305
2002-10-22,2.8992746267654965,2.8992746267654965
2002-10-23,2.7674865177680985,2.7674865177680985
2002-10-24,2.2200951532306377,2.2200951532306377
2002-10-25,1.9208092447557803,1.9208092447557803
2002-10-28,1.9672687847380814,1.9672687847380814
2002-10-29,1.6190460888013263,1.6190460888013263
2002-10-30,1.5093668985615238,1.5093668985615238
2002-10-31,1.2001836241452537,1.2001836241452537
2002-11-01,1.0420530673619126,1.0420530673619126
2002-11-04,0.7347647173671845,0.7347647173671845
2002-11-05,0.6925618793639643,0.6925618793639643
2002-11-06,0.6858716874679516,0.6858716874679516
2002-11-07,0.5661351059852819,0.5661351059852819
2002-11-08,0.44819530890432446,0.44819530890432446
2002-11-11,0.911481136624829,0.911481136624829
2002-11-12,0.547347368100688,0.547347368100688
2002-11-13,0.1407049313662796,0.1407049313662796
2002-11-14,0.16848848719767062,0.16848848719767062
2002-11-15,0.5527901666832165,0.5527901666832165
2002-11-18,0.6349499955148232,0.6349499955148232
2002-11-19,0.5356237028935524,0.5356237028935524
2002-11-20,0.2930345144481308,0.2930345144481308
2002-11-21,0.4107206703740758,0.4107206703740758
2002-11-22,-0.07843970923913446,-0.07843970923913446
2002-11-25,-0.3914614606978972,-0.3914614606978972
2002-11-26,-0.7356851493265282,-0.7356851493265282
2002-11-27,-0.6852120947279587,-0.6852120947279587
2002-11-29,-0.12412813670432854,-0.12412813670432854
2002-12-02,-0.3906225164151351,-0.3906225164151351
2002-12-03,-0.06211877731426796,-0.06211877731426796
2002-12-04,0.18334569449528715,0.18334569449528715
2002-12-05,0.1258037976455597,0.1258037976455597
2002-12-06,-0.13559469409429425,-0.13559469409429425
2002-12-09,0.020600490676777383,0.020600490676777383
2002-12-10,-0.2851126165953133,-0.2851126165953133
2002-12-11,-0.1507303091505321,-0.1507303091505321
2002-12-12,-0.2602613441280681,-0.2602613441280681
2002-12-13,-0.31550094703847265,-0.31550094703847265
2002-12-16,0.19092952815408637,0.19092952815408637
2002-12-17,0.1525515490916618,0.1525515490916618
2002-12-18,0.5706275215742309,0.5706275215742309
2002-12-19,0.5666373327680176,0.5666373327680176
2002-12-20,0.2944117432057709,0.2944117432057709
2002-12-23,0.2923856350098717,0.2923856350098717
2002-12-24,0.022807194321501356,0.022807194321501356
2002-12-26,0.0708801943214965,0.0708801943214965
2002-12-27,0.07112322733526355,0.07112322733526355
2002-12-30,0.3001619492831651,0.3001619492831651
2002-12-31,0.8148848724521756,0.8148848724521756
2003-01-02,1.143245406082869,1.143245406082869
2003-01-03,0.849221428142144,0.849221428142144
2003-01-06,0.9037966018831867,0.9037966018831867
2003-01-07,0.7193154891249804,0.7193154891249804
2003-01-08,0.36567475008698125,0.36567475008698125
2003-01-09,0.42387288292428593,0.42387288292428593
2003-01-10,0.5888976976715696,0.5888976976715696
2003-01-13,0.2167523080958489,0.2167523080958489
